phrase,pin,value,action
change pin five hundred and forty to five hundred and twenty six,five hundred and forty,five hundred and twenty six,change
set the pin six hundred and ninety nine to fifty two percent,six hundred and ninety nine,fifty two percent,set
change the pin nine hundred and forty eight to four hundred and seventy two,nine hundred and forty eight,four hundred and seventy two,change
change pin four hundred and ninety seven to two hundred and seventy one,four hundred and ninety seven,two hundred and seventy one,change
set pin three hundred and two to seven hundred and sixty nine,three hundred and two,seven hundred and sixty nine,set
add pin one thousand and twenty three,one thousand and twenty three,,add
change the pin eight hundred and eleven to one hundred and fifty six,eight hundred and eleven,one hundred and fifty six,change
change the pin one hundred and twenty one to seven hundred and sixty one,one hundred and twenty one,seven hundred and sixty one,change
set pin eight hundred and seventy six to three hundred and eighty,eight hundred and seventy six,three hundred and eighty,set
set the pin four hundred and eighty to one hundred and fifty six,four hundred and eighty,one hundred and fifty six,set
add pin one thousand and eight,one thousand and eight,,add
change pin eight hundred and twenty to one thousand and seventeen,eight hundred and twenty,one thousand and seventeen,change
delete pin three hundred and forty seven,three hundred and forty seven,,delete
turn the pin one thousand and twenty two on,one thousand and twenty two,on,turn
set the pin five hundred and seven to five hundred and twenty six,five hundred and seven,five hundred and twenty six,set
delete the pin sixty six,sixty six,,delete
set pin five hundred and eighty to eight hundred and forty six,five hundred and eighty,eight hundred and forty six,set
set the pin seventy six to four hundred and twenty eight,seventy six,four hundred and twenty eight,set
set pin eight hundred and five to seven hundred and seventy two,eight hundred and five,seven hundred and seventy two,set
turn the pin six hundred and fourteen off,six hundred and fourteen,off,turn
turn on the pin one thousand and three,one thousand and three,on,turn
set pin nine hundred and fifty three to two hundred and ninety four,nine hundred and fifty three,two hundred and ninety four,set
set the pin one hundred and thirty nine to two hundred and ninety seven,one hundred and thirty nine,two hundred and ninety seven,set
turn the pin three hundred and eighty six off,three hundred and eighty six,off,turn
turn on pin six hundred and twenty one,six hundred and twenty one,on,turn
change pin five hundred and ninety two to six hundred and forty one,five hundred and ninety two,six hundred and forty one,change
delete pin five hundred and forty,five hundred and forty,,delete
change pin six to eight hundred and eighty seven,six,eight hundred and eighty seven,change
set the pin fifty five to one,fifty five,one,set
set pin fourteen to seventy five,fourteen,seventy five,set
set the pin one thousand and six to six hundred and thirty four,one thousand and six,six hundred and thirty four,set
set the pin nine hundred and forty nine to eight hundred and thirty two,nine hundred and forty nine,eight hundred and thirty two,set
add the pin three hundred and fifty five,three hundred and fifty five,,add
set the pin five hundred and nineteen to four hundred and sixty seven,five hundred and nineteen,four hundred and sixty seven,set
set the pin five hundred and ninety six to three hundred and sixty seven,five hundred and ninety six,three hundred and sixty seven,set
change pin two hundred and seventy six to fourteen,two hundred and seventy six,fourteen,change
change pin three hundred and forty three to thirty eight,three hundred and forty three,thirty eight,change
change pin nine hundred and twenty three to eight hundred and ninety six,nine hundred and twenty three,eight hundred and ninety six,change
set pin five hundred and seventy two to four hundred and eighty five,five hundred and seventy two,four hundred and eighty five,set
change pin four hundred and sixty four to four hundred and sixteen,four hundred and sixty four,four hundred and sixteen,change
change the pin two hundred and seventy two to sixty four,two hundred and seventy two,sixty four,change
set pin four hundred and twenty four to four hundred and twenty two,four hundred and twenty four,four hundred and twenty two,set
set the pin seven hundred and seventy six to six hundred and three,seven hundred and seventy six,six hundred and three,set
turn off pin one thousand and two,one thousand and two,off,turn
set the pin six hundred and eleven to nine hundred and sixty five,six hundred and eleven,nine hundred and sixty five,set
set pin one hundred and forty four to five hundred and fifteen,one hundred and forty four,five hundred and fifteen,set
change the pin five hundred and eighty three to six hundred and eighty seven,five hundred and eighty three,six hundred and eighty seven,change
delete the pin two hundred and sixty one,two hundred and sixty one,,delete
set the pin five hundred and seventy five to two hundred and sixteen,five hundred and seventy five,two hundred and sixteen,set
change pin three hundred and fifty eight to one hundred and forty nine,three hundred and fifty eight,one hundred and forty nine,change
turn pin one hundred and seventy nine off,one hundred and seventy nine,off,turn
change the pin eight hundred and forty three to two hundred and sixty,eight hundred and forty three,two hundred and sixty,change
change pin four hundred to three hundred and thirty one,four hundred,three hundred and thirty one,change
turn on the pin seven hundred and forty four,seven hundred and forty four,on,turn
turn the pin seven hundred and eighty nine off,seven hundred and eighty nine,off,turn
set pin two hundred and fourteen to ninety five,two hundred and fourteen,ninety five,set
set pin four hundred and twenty nine to one hundred and forty seven,four hundred and twenty nine,one hundred and forty seven,set
turn pin two hundred and twenty three off,two hundred and twenty three,off,turn
change the pin nine hundred and seven to six hundred and five,nine hundred and seven,six hundred and five,change
delete the pin nine hundred and sixty two,nine hundred and sixty two,,delete
add the pin nine hundred and forty five,nine hundred and forty five,,add
turn the pin two hundred and sixty nine off,two hundred and sixty nine,off,turn
set the pin six hundred and eighty to seven hundred and seventy eight,six hundred and eighty,seven hundred and seventy eight,set
